127.0.0.1 - - [23/Jul/2019:10:16:02 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [23/Jul/2019:10:16:03 +0900] "GET /onlineTest/index.jsp HTTP/1.1" 200 8866
0:0:0:0:0:0:0:1 - - [23/Jul/2019:10:16:03 +0900] "GET /images/c.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2019:10:16:03 +0900] "GET /images/java.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2019:10:16:03 +0900] "GET /images/oracle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2019:10:16:03 +0900] "GET /images/code6.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2019:10:16:03 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [23/Jul/2019:10:46:49 +0900] "GET /onlineTest_HY/top.jsp HTTP/1.1" 200 3391
0:0:0:0:0:0:0:1 - - [23/Jul/2019:10:47:09 +0900] "GET /onlineTest_HY/index.jsp HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [23/Jul/2019:10:47:09 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [23/Jul/2019:10:51:22 +0900] "GET /onlineTest_HY/index.jsp HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [23/Jul/2019:10:51:22 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [23/Jul/2019:10:51:30 +0900] "GET /onlineTest_HY/top.jsp HTTP/1.1" 200 3704
0:0:0:0:0:0:0:1 - - [23/Jul/2019:10:51:31 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [23/Jul/2019:10:52:05 +0900] "GET /onlineTest/index.jsp HTTP/1.1" 200 8866
0:0:0:0:0:0:0:1 - - [23/Jul/2019:10:52:05 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
